State,Year,Month,Value
USA,1996,Jan,5.6
USA,1996,Feb,5.5
USA,1996,Mar,5.5
USA,1996,Apr,5.6
USA,1996,May,5.6
USA,1996,Jun,5.3
USA,1996,Jul,5.5
USA,1996,Aug,5.1
USA,1996,Sep,5.2
USA,1996,Oct,5.2
USA,1996,Nov,5.4
USA,1996,Dec,5.4
USA,1997,Jan,5.3
USA,1997,Feb,5.2
USA,1997,Mar,5.2
USA,1997,Apr,5.1
USA,1997,May,4.9
USA,1997,Jun,5
USA,1997,Jul,4.9
USA,1997,Aug,4.8
USA,1997,Sep,4.9
USA,1997,Oct,4.7
USA,1997,Nov,4.6
USA,1997,Dec,4.7
USA,1998,Jan,4.6
USA,1998,Feb,4.6
USA,1998,Mar,4.7
USA,1998,Apr,4.3
USA,1998,May,4.4
USA,1998,Jun,4.5
USA,1998,Jul,4.5
USA,1998,Aug,4.5
USA,1998,Sep,4.6
USA,1998,Oct,4.5
USA,1998,Nov,4.4
USA,1998,Dec,4.4
USA,1999,Jan,4.3
USA,1999,Feb,4.4
USA,1999,Mar,4.2
USA,1999,Apr,4.3
USA,1999,May,4.2
USA,1999,Jun,4.3
USA,1999,Jul,4.3
USA,1999,Aug,4.2
USA,1999,Sep,4.2
USA,1999,Oct,4.1
USA,1999,Nov,4.1
USA,1999,Dec,4
USA,2000,Jan,4
USA,2000,Feb,4.1
USA,2000,Mar,4
USA,2000,Apr,3.8
USA,2000,May,4
USA,2000,Jun,4
USA,2000,Jul,4
USA,2000,Aug,4.1
USA,2000,Sep,3.9
USA,2000,Oct,3.9
USA,2000,Nov,3.9
USA,2000,Dec,3.9
USA,2001,Jan,4.2
USA,2001,Feb,4.2
USA,2001,Mar,4.3
USA,2001,Apr,4.4
USA,2001,May,4.3
USA,2001,Jun,4.5
USA,2001,Jul,4.6
USA,2001,Aug,4.9
USA,2001,Sep,5
USA,2001,Oct,5.3
USA,2001,Nov,5.5
USA,2001,Dec,5.7
USA,2002,Jan,5.7
USA,2002,Feb,5.7
USA,2002,Mar,5.7
USA,2002,Apr,5.9
USA,2002,May,5.8
USA,2002,Jun,5.8
USA,2002,Jul,5.8
USA,2002,Aug,5.7
USA,2002,Sep,5.7
USA,2002,Oct,5.7
USA,2002,Nov,5.9
USA,2002,Dec,6
USA,2003,Jan,5.8
USA,2003,Feb,5.9
USA,2003,Mar,5.9
USA,2003,Apr,6
USA,2003,May,6.1
USA,2003,Jun,6.3
USA,2003,Jul,6.2
USA,2003,Aug,6.1
USA,2003,Sep,6.1
USA,2003,Oct,6
