State,Year,Month,Value
SD,1995,Dec,3.3
SD,1996,Jan,3.3
SD,1996,Feb,3.4
SD,1996,Mar,3.4
SD,1996,Apr,3.4
SD,1996,May,3.4
SD,1996,Jun,3.3
SD,1996,Jul,3.3
SD,1996,Aug,3.2
SD,1996,Sep,3.2
SD,1996,Oct,3.2
SD,1996,Nov,3.2
SD,1996,Dec,3.2
SD,1997,Jan,3.1
SD,1997,Feb,3.1
SD,1997,Mar,3
SD,1997,Apr,2.9
SD,1997,May,2.9
SD,1997,Jun,2.9
SD,1997,Jul,2.9
SD,1997,Aug,2.9
SD,1997,Sep,2.9
SD,1997,Oct,2.9
SD,1997,Nov,2.9
SD,1997,Dec,2.9
SD,1998,Jan,2.9
SD,1998,Feb,2.9
SD,1998,Mar,2.9
SD,1998,Apr,2.9
SD,1998,May,2.9
SD,1998,Jun,2.8
SD,1998,Jul,2.8
SD,1998,Aug,2.8
SD,1998,Sep,2.8
SD,1998,Oct,2.8
SD,1998,Nov,2.8
SD,1998,Dec,2.8
SD,1999,Jan,2.8
SD,1999,Feb,2.8
SD,1999,Mar,2.8
SD,1999,Apr,2.8
SD,1999,May,2.8
SD,1999,Jun,2.8
SD,1999,Jul,2.8
SD,1999,Aug,2.7
SD,1999,Sep,2.7
SD,1999,Oct,2.6
SD,1999,Nov,2.6
SD,1999,Dec,2.5
SD,2000,Jan,2.5
SD,2000,Feb,2.4
SD,2000,Mar,2.4
SD,2000,Apr,2.4
SD,2000,May,2.5
SD,2000,Jun,2.5
SD,2000,Jul,2.5
SD,2000,Aug,2.6
SD,2000,Sep,2.6
SD,2000,Oct,2.6
SD,2000,Nov,2.7
SD,2000,Dec,2.7
SD,2001,Jan,2.7
SD,2001,Feb,2.8
SD,2001,Mar,2.8
SD,2001,Apr,2.9
SD,2001,May,2.9
SD,2001,Jun,2.9
SD,2001,Jul,3
SD,2001,Aug,3
SD,2001,Sep,3.1
SD,2001,Oct,3.2
SD,2001,Nov,3.3
SD,2001,Dec,3.4
SD,2002,Jan,3.4
SD,2002,Feb,3.4
SD,2002,Mar,3.4
SD,2002,Apr,3.3
SD,2002,May,3.3
SD,2002,Jun,3.2
SD,2002,Jul,3.1
SD,2002,Aug,3.1
SD,2002,Sep,3.1
SD,2002,Oct,3.1
SD,2002,Nov,3.2
SD,2002,Dec,3.2
SD,2003,Jan,3.3
SD,2003,Feb,3.3
SD,2003,Mar,3.4
SD,2003,Apr,3.4
SD,2003,May,3.5
SD,2003,Jun,3.5
SD,2003,Jul,3.6
SD,2003,Aug,3.6
SD,2003,Sep,3.6
SD,2003,Oct,3.5
SD,2003,Nov,3.5
SD,2003,Dec,3.5
SD,2004,Jan,3.5
SD,2004,Feb,3.5
SD,2004,Mar,3.5
SD,2004,Apr,3.5
SD,2004,May,3.6
SD,2004,Jun,3.6
SD,2004,Jul,3.6
SD,2004,Aug,3.7
SD,2004,Sep,3.7
SD,2004,Oct,3.7
SD,2004,Nov,3.7
SD,2004,Dec,3.7
SD,2005,Jan,3.7
SD,2005,Feb,3.8
SD,2005,Mar,3.8
SD,2005,Apr,3.7
SD,2005,May,3.7
SD,2005,Jun,3.6
SD,2005,Jul,3.5
SD,2005,Aug,3.5
SD,2005,Sep,3.4
SD,2005,Oct,3.4
SD,2005,Nov,3.3
SD,2005,Dec,3.2
SD,2006,Jan,3.2
SD,2006,Feb,3
SD,2006,Mar,3
SD,2006,Apr,2.9
SD,2006,May,2.9
SD,2006,Jun,3
SD,2006,Jul,3
SD,2006,Aug,3
SD,2006,Sep,3
SD,2006,Oct,3
SD,2006,Nov,3
SD,2006,Dec,3
SD,2007,Jan,2.9
SD,2007,Feb,2.9
SD,2007,Mar,2.8
SD,2007,Apr,2.8
SD,2007,May,2.8
SD,2007,Jun,2.8
SD,2007,Jul,2.8
SD,2007,Aug,2.9
SD,2007,Sep,2.9
SD,2007,Oct,2.8
SD,2007,Nov,2.8
SD,2007,Dec,2.7
SD,2008,Jan,2.6
SD,2008,Feb,2.6
SD,2008,Mar,2.6
SD,2008,Apr,2.7
SD,2008,May,2.8
SD,2008,Jun,2.9
SD,2008,Jul,3.1
SD,2008,Aug,3.2
SD,2008,Sep,3.4
SD,2008,Oct,3.5
SD,2008,Nov,3.7
SD,2008,Dec,3.9
SD,2009,Jan,4.1
SD,2009,Feb,4.4
SD,2009,Mar,4.5
SD,2009,Apr,4.7
SD,2009,May,4.7
SD,2009,Jun,4.7
SD,2009,Jul,4.6
SD,2009,Aug,4.6
SD,2009,Sep,4.6
SD,2009,Oct,4.6
SD,2009,Nov,4.7
SD,2009,Dec,4.8
SD,2010,Jan,4.8
SD,2010,Feb,4.9
SD,2010,Mar,4.9
SD,2010,Apr,4.9
SD,2010,May,4.9
SD,2010,Jun,4.9
SD,2010,Jul,4.9
SD,2010,Aug,4.9
SD,2010,Sep,4.9
SD,2010,Oct,4.9
SD,2010,Nov,5
SD,2010,Dec,5
SD,2011,Jan,5
SD,2011,Feb,4.9
SD,2011,Mar,4.9
SD,2011,Apr,4.8
SD,2011,May,4.7
SD,2011,Jun,4.6
SD,2011,Jul,4.5
SD,2011,Aug,4.5
SD,2011,Sep,4.4
SD,2011,Oct,4.4
SD,2011,Nov,4.3
SD,2011,Dec,4.2
SD,2012,Jan,4.2
SD,2012,Feb,4.1
SD,2012,Mar,4.1
SD,2012,Apr,4.1
SD,2012,May,4.1
SD,2012,Jun,4.1
SD,2012,Jul,4.1
SD,2012,Aug,4.1
SD,2012,Sep,4
SD,2012,Oct,4
SD,2012,Nov,3.9
SD,2012,Dec,3.9
SD,2013,Jan,3.9
SD,2013,Feb,3.8
SD,2013,Mar,3.8
SD,2013,Apr,3.8
SD,2013,May,3.8
SD,2013,Jun,3.7
SD,2013,Jul,3.7
SD,2013,Aug,3.7
SD,2013,Sep,3.6
SD,2013,Oct,3.6
SD,2013,Nov,3.5
SD,2013,Dec,3.5
SD,2014,Jan,3.5
SD,2014,Feb,3.4
SD,2014,Mar,3.4
SD,2014,Apr,3.4
SD,2014,May,3.4
SD,2014,Jun,3.3
SD,2014,Jul,3.3
SD,2014,Aug,3.3
SD,2014,Sep,3.3
SD,2014,Oct,3.3
SD,2014,Nov,3.2
SD,2014,Dec,3.2
SD,2015,Jan,3.2
SD,2015,Feb,3.2
SD,2015,Mar,3.2
SD,2015,Apr,3.1
SD,2015,May,3.1
SD,2015,Jun,3.1
SD,2015,Jul,3.1
SD,2015,Aug,3
SD,2015,Sep,3
SD,2015,Oct,2.9
SD,2015,Nov,2.9
SD,2015,Dec,2.8
SD,2016,Jan,2.8
SD,2016,Feb,2.8
SD,2016,Mar,2.8
SD,2016,Apr,2.9
SD,2016,May,2.9
SD,2016,Jun,3
SD,2016,Jul,3.1
SD,2016,Aug,3.1
SD,2016,Sep,3.2
SD,2016,Oct,3.2
SD,2016,Nov,3.2
SD,2016,Dec,3.2
SD,2017,Jan,3.1
SD,2017,Feb,3.1
SD,2017,Mar,3.1
SD,2017,Apr,3
SD,2017,May,3
SD,2017,Jun,3
SD,2017,Jul,3.1
SD,2017,Aug,3.1
SD,2017,Sep,3.1
SD,2017,Oct,3
SD,2017,Nov,3
SD,2017,Dec,3
SD,2018,Jan,3
SD,2018,Feb,2.9
SD,2018,Mar,2.9
SD,2018,Apr,2.8
SD,2018,May,2.8
SD,2018,Jun,2.8
SD,2018,Jul,2.7
SD,2018,Aug,2.7
SD,2018,Sep,2.7
SD,2018,Oct,2.7
SD,2018,Nov,2.7
SD,2018,Dec,2.8
SD,2019,Jan,2.8
SD,2019,Feb,2.8
SD,2019,Mar,2.8
SD,2019,Apr,2.8
SD,2019,May,2.8
SD,2019,Jun,2.8
SD,2019,Jul,2.8
SD,2019,Aug,2.8
SD,2019,Sep,2.8
SD,2019,Oct,2.8
SD,2019,Nov,2.7
SD,2019,Dec,2.7
SD,2020,Jan,2.6
SD,2020,Feb,2.5
SD,2020,Mar,2.4
SD,2020,Apr,8.8
SD,2020,May,6.6
SD,2020,Jun,5.3
SD,2020,Jul,4.7
SD,2020,Aug,4.1
SD,2020,Sep,3.8
SD,2020,Oct,3.4
SD,2020,Nov,3.3
SD,2020,Dec,3.2
SD,2021,Jan,3
SD,2021,Feb,2.9
SD,2021,Mar,2.8
SD,2021,Apr,2.8
SD,2021,May,2.8
SD,2021,Jun,2.8
SD,2021,Jul,2.7
SD,2021,Aug,2.7
SD,2021,Sep,2.5
SD,2021,Oct,2.4
SD,2021,Nov,2.2
SD,2021,Dec,2.1
SD,2022,Jan,2
SD,2022,Feb,1.9
SD,2022,Mar,1.9
SD,2022,Apr,1.9
SD,2022,May,2
SD,2022,Jun,2
SD,2022,Jul,2.1
SD,2022,Aug,2.2
SD,2022,Sep,2.2
SD,2022,Oct,2.2
SD,2022,Nov,2.2
SD,2022,Dec,2.2
